example_id                                                  | status | run_time        |
----------------------------------------------------------- | ------ | --------------- |
./spec/integration/authentication_flow_spec.rb[1:1:1:1]     | passed | 0.00023 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:1:2]     | passed | 0.00031 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:1:3]     | passed | 0.00022 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:1:4]     | passed | 0.00022 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:1:5]     | passed | 0.00031 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:2:1]     | passed | 0.00022 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:2:2]     | passed | 0.00024 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:2:3]     | passed | 0.00038 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:2:4]     | passed | 0.00036 seconds |
./spec/integration/authentication_flow_spec.rb[1:1:3:1]     | passed | 0.00022 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:1:1]     | passed | 0.00011 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:1:2]     | passed | 0.00011 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:1:3]     | passed | 0.00022 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:1:4]     | passed | 0.00012 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:2:1]     | passed | 0.00009 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:2:2]     | passed | 0.00012 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:2:3]     | passed | 0.00038 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:2:4]     | passed | 0.0001 seconds  |
./spec/integration/authentication_flow_spec.rb[1:2:2:5]     | passed | 0.00013 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:2:6]     | passed | 0.00011 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:3:1]     | passed | 0.00009 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:3:2]     | passed | 0.00009 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:3:3]     | passed | 0.00011 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:3:4]     | passed | 0.00021 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:3:5]     | passed | 0.0001 seconds  |
./spec/integration/authentication_flow_spec.rb[1:2:4:1]     | passed | 0.00012 seconds |
./spec/integration/authentication_flow_spec.rb[1:2:4:2]     | passed | 0.0001 seconds  |
./spec/integration/authentication_flow_spec.rb[1:3:1:1]     | passed | 0.00052 seconds |
./spec/integration/authentication_flow_spec.rb[1:3:2:1]     | passed | 0.0222 seconds  |
./spec/integration/authentication_flow_spec.rb[1:3:3:1]     | passed | 0.00872 seconds |
./spec/integration/authentication_flow_spec.rb[1:4:1]       | passed | 0.02494 seconds |
./spec/integration/authentication_flow_spec.rb[1:5:1]       | passed | 0.03134 seconds |
./spec/integration/authorization_spec.rb[1:1:1:1]           | passed | 0.01845 seconds |
./spec/integration/authorization_spec.rb[1:1:1:2]           | passed | 0.05611 seconds |
./spec/integration/authorization_spec.rb[1:1:2:1]           | passed | 0.09555 seconds |
./spec/integration/authorization_spec.rb[1:1:2:2]           | passed | 0.03014 seconds |
./spec/integration/authorization_spec.rb[1:2:1:1]           | passed | 0.02986 seconds |
./spec/integration/authorization_spec.rb[1:2:1:2]           | passed | 0.02907 seconds |
./spec/integration/authorization_spec.rb[1:2:1:3]           | passed | 0.01607 seconds |
./spec/integration/authorization_spec.rb[1:2:2:1]           | passed | 0.07838 seconds |
./spec/integration/authorization_spec.rb[1:2:2:2]           | passed | 0.01343 seconds |
./spec/integration/authorization_spec.rb[1:2:3:1]           | passed | 0.02072 seconds |
./spec/integration/authorization_spec.rb[1:2:4:1]           | passed | 0.03716 seconds |
./spec/integration/authorization_spec.rb[1:2:4:2]           | passed | 0.02897 seconds |
./spec/integration/authorization_spec.rb[1:2:4:3]           | passed | 0.07692 seconds |
./spec/integration/authorization_spec.rb[1:3:1:1]           | passed | 0.02346 seconds |
./spec/integration/authorization_spec.rb[1:3:1:2]           | passed | 0.02267 seconds |
./spec/integration/authorization_spec.rb[1:3:2:1]           | passed | 0.03595 seconds |
./spec/integration/authorization_spec.rb[1:3:2:2]           | passed | 0.08046 seconds |
./spec/integration/authorization_spec.rb[1:4:1]             | passed | 0.01354 seconds |
./spec/integration/authorization_spec.rb[1:4:2]             | passed | 0.02695 seconds |
./spec/integration/token_refresh_spec.rb[1:1:1]             | passed | 0.08394 seconds |
./spec/integration/token_refresh_spec.rb[1:2:1]             | passed | 0.01242 seconds |
./spec/kinde_sdk/client/entitlements_spec.rb[1:1:1]         | passed | 0.03266 seconds |
./spec/kinde_sdk/client/entitlements_spec.rb[1:1:2]         | passed | 0.03097 seconds |
./spec/kinde_sdk/client/entitlements_spec.rb[1:2:1]         | passed | 0.04428 seconds |
./spec/kinde_sdk/client/entitlements_spec.rb[1:2:2:1]       | passed | 0.00139 seconds |
./spec/kinde_sdk/client/entitlements_spec.rb[1:3:1]         | passed | 0.02367 seconds |
./spec/kinde_sdk/client/entitlements_spec.rb[1:4:1]         | passed | 0.0283 seconds  |
